adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/A2oZVgav6vOEme9Vjac09Y3pXAi.jpg,"[10751, 35, 10770]",147763,en,The Dog Who Saved the Holidays,"It's a sun-soaked holiday season for the Bannister family as they travel to Southern California to stay with Aunt Barbara, who surprises them with a new puppy named Eve. Everyone is smitten with Eve -- except for the Bannister's dog, Zeus, who sees what a mischievous animal she is when no one else is around. After deciding to run away, Zeus sees Ted and Stewey, two thrifty thieves, trying to break into the family home while the Bannisters are at church. It's up to Zeus and his newest sister Eve to join together to save the holidays for their family!",11.578,/bBgYdui5kwyykzJqYwX6ijv1Jn3.jpg,2012-12-04,The Dog Who Saved the Holidays,False,4.9,16
False,/gGjwFDPY1TouGKaWNR4uYEPEDVJ.jpg,"[10749, 10770]",360604,en,Ice Sculpture Christmas,"After starting her first job at a country club restaurant, Callie’s passions for cooking and ice sculpting are met with romance and Christmas spirit when a childhood friend enters her into the club’s annual Christmas ice sculpting competition without her knowledge.",7.915,/tbLXuXt9ZBVGcrLE8AfLCzGfoHw.jpg,2015-11-07,Ice Sculpture Christmas,False,6.1,86
False,/xmBJ9nezUteqowdYfrW8383LHd9.jpg,"[53, 878, 10770]",248504,en,Sharknado 2: The Second One,"A freak weather system turns its deadly fury on New York City, unleashing a Sharknado on the population and its most cherished, iconic sites - and only Fin and April can save the Big Apple.",11.528,/GgZOBSNIkxz3qA66Jauv6VvIc.jpg,2014-07-31,Sharknado 2: The Second One,False,4.55,655
False,/kS1yWvprMvSQ1kKPSzNMj249vH.jpg,"[53, 10770]",372490,en,Swept Under,"Meet Morgan. At first glance, she's just your average cleaning lady. She has no problem getting her hands dirty, which is a good thing considering it's not fancy houses she cleans for a living - it's gruesome crime scenes. It's at one of these scenes that Morgan discovers a key piece of evidence overlooked by the forensics team. This, and her knack for reading blood splatter, catch Nick's attention, a newbie detective working the case. The pair soon become unofficial partners on what's become a stream of related murders and the closer they get to solving the mystery the closer they get to each other. But while they succeed in getting a confession from their primary suspect, their feelings for each other risk blinding them to the truth and they find themselves dangerously close to the real killer.",6.082,/vsSnOpQzMK3vLG0rYpLfFgVv4az.jpg,2015-12-06,Swept Under,False,5.8,64
False,/uslyHwyeuM8MtKbheLzxs37PBFR.jpg,"[10770, 10751, 16, 35]",374252,en,Shaun the Sheep: The Farmer's Llamas,"Shaun bluffs his dimwitted farmer master into bidding for three llamas at a county fair. Once they arrive, however, they cause such chaotic destructive mayhem that Shaun has to carefully remove them – high-speed chases, careful rooftop scrambles and dangerous falls ensue.",7.561,/21laLCk0pmTKpLybSFPwZUFNSD6.jpg,2015-11-13,Shaun the Sheep: The Farmer's Llamas,False,6.7,68
False,/zUCagf1HijkgQnaI2opuJZquQbR.jpg,"[10770, 35]",287689,en,7 Days in Hell,A fictional documentary-style expose on the rivalry between two tennis stars who battled it out in a 1999 match that lasted seven days.,9.271,/h5yZf1uHyGstsGoWkjO8W1ccSzn.jpg,2015-07-08,7 Days in Hell,False,6.5,384
False,/kPZylC2tzyJzjFXmyH2qcSZMwYv.jpg,"[27, 878, 10770]",284711,en,Sharktopus vs. Pteracuda,"An American scientist up to no good (as usual) by creating the half-pterodactyl, half-barracuda: Pteracuda. When the creature inevitably escapes, it's up to Sharktopus to stop him.",6.009,/d9tL8K2cb77Cj6yDFlILVdgqDmY.jpg,2014-08-02,Sharktopus vs. Pteracuda,False,3.925,80
False,/bN1WWrY0s3ZDhGTnqdlaH0utdK8.jpg,"[10770, 10751, 14]",339543,en,Northpole: Open for Christmas,"A successful businesswoman, Mackenzie, inherits her beloved aunt's inn, and chooses to restore the hotel to its original grandeur only to sell it right before Christmas. Unbeknownst to Mackenzie, she receives some unexpected help from a team of elves headed by the cheerful Clementine, who helps Mackenzie rediscover the true meaning of Christmas.",7.212,/7hbdsTv0hoV3ScEbqmqi16xRp2B.jpg,2015-11-21,Northpole: Open for Christmas,False,5.808,91
False,/gSArEgFJb4qUYpjhqMApcKmD7Ye.jpg,"[28, 878, 10770]",339533,en,San Andreas Quake,"When a discredited L.A. Seismologist warns of an impending 12.7 earthquake, no one takes her seriously. Now on her own, she races desperately to get her family to safety before the earthquake breaks Los Angeles apart from the mainland.",9.463,/4dx0K5ZbdhQDfcyBqqHJFH1OW71.jpg,2015-05-19,San Andreas Quake,False,4.26,181
False,/qPUj59haWS8XoFZ4LV056YcC33C.jpg,"[18, 10770, 10749, 36]",352733,en,The Scandalous Lady W,"A gripping 18th century drama details the scandalous life of Lady Seymour Worsley, who dared to leave her husband and elope with his best friend, Captain George Bisset. Lady Seymour Worsley escapes her troubled marriage only to find herself at the centre of a very public trial brought by her powerful husband Sir Richard Worsley.",7.172,/ekegcpp9Ri1R4slhtJrJwT4Euw0.jpg,2015-08-17,The Scandalous Lady W,False,6.7,99
False,/5dutPpjtI5sX8vJAwrVBVdR8bCC.jpg,"[10770, 10749, 18, 35]",299576,en,The Nine Lives of Christmas,"With Christmas approaching, a handsome fireman afraid of commitment adopts a stray cat and meets a beautiful veterinary student who challenges his decision to remain a confirmed bachelor.",10.2,/d3Nw4grn02Ca5AmOiRcZLgrAL2k.jpg,2014-11-08,The Nine Lives of Christmas,False,6.7,106
False,/nKYOODPP0Kt7XOn9e3deAUFES2d.jpg,"[10770, 53, 18]",333653,en,If There Be Thorns,"Christopher and Cathy Dollanganger live together as man and wife with Cathy's two sons who are unaware of the incestuous nature of their parents' relationship. But when a mysterious woman moves in next door and befriends the younger boy, Bart, he begins a strange transformation and displays accusatory behavior towards Cathy and Christopher. When Christopher discovers their mysterious neighbor is, in fact, his mother Corrine Dollanganger, all of the family's long-hidden secrets are revealed in a tragic climax.",7.683,/9hL5RbsqidxK7bkXxKIxWdIVvPA.jpg,2015-04-05,If There Be Thorns,False,5.9,110
False,/rwUorXcUSTLo0CJo48JEenhzjRR.jpg,"[10751, 10770, 35, 10749]",363483,en,12 Gifts of Christmas,"When Anna Parisi, an unemployed fine arts painter, is unable to make ends meet, she is hired to become a personal Christmas shopper for Marc, an uptight corporate exec.  As they begin working together, Marc learns that Christmas giving has less to do with the amount of money spent and more to do with the importance of the gift, while Anna discovers she might find success as an artist in a way she never expected.  The best gift of all of course is the love they discover with one another.",8.425,/2gBuhcMRL03OLd5IOD5cVFe8gBv.jpg,2015-11-26,12 Gifts of Christmas,False,6.1,231
False,/7pnm2yxYKYoQkoiDJCwMPISbPRL.jpg,"[10749, 18, 14, 10770]",266353,en,In My Dreams,"Natalie and Nick are frustrated with their luck in romance. After tossing coins into a fountain, the two then begin dreaming about each other. But, according to fountain mythology, they only have a week to turn those dreams into reality.",8.667,/2eDkbLdJncFGiSDrpkUrYj8qv0q.jpg,2015-10-20,In My Dreams,False,6.442,223
False,/9tTELw3Pz0sHKMrcXoQZaIehU5p.jpg,"[27, 10770]",361042,en,The Hollow,"It's Halloween eve on Shelter Island, and the small town is preparing for a killer storm. But the dark clouds gathering over the island are bringing with them a curse one-hundred years in waiting. As the woods give birth to an ungodly and insatiable creature of fire, bones, and earth, three sisters must scramble to stay alive through the long dark night of the Hollow. For it's not something you can kill. It's only something you can try and survive.",6.011,/v0k9gjdxjrG2vQKxRRrrjStTLiG.jpg,2015-10-24,The Hollow,False,4.7,87
False,/kM7HkgCVmpf3ENFGoKLrYHeidbz.jpg,"[878, 18, 28, 10770]",208466,en,Christmas Twister,"During the holiday season, Ethan, a meteorologist, and his wife Addison, a TV news reporter, must put aside their differences and band together to help save others and rescue their missing children from a massive F6 twister that has unexpectedly descended upon their small Texas town.",8.044,/4KZ8qCBmvJccKpjDQpSehrR3Zrz.jpg,2012-12-16,Christmas Twister,False,5.1,56
False,/cBwB9apqeapq6CIrpG1FrzKkIJq.jpg,"[18, 10770]",364902,en,The Dresser,"One fateful night in a small English regional theatre during World War II a troupe of touring actors stage a production of Shakespeares King Lear. Bombs are falling, sirens are wailing, the curtain is up in an hour but the actor/manager Sir who is playing Lear is nowhere to be seen. His dresser Norman must scramble to keep the production alive but will Sir turn up in time and if he does will he be able to perform that night? The Dresser is a wickedly funny and deeply moving story of friendship and loyalty as Sir reflects on his lifelong accomplishments and seeks to reconcile his turbulent friendships with those in his employ before the final curtain.",6.544,/zu1RH6FJxRH3tavMrt1hSTSh6PP.jpg,2015-10-31,The Dresser,False,6.2,81
False,,"[53, 10770, 9648]",328480,en,Kept Woman,"Jessica and her fiancé Evan just moved from the city into their dream home on a quiet suburban street. Soon after, Jessica catches her seemingly friendly new neighbor, Simon, in a strange lie and can't let her suspicions rest. The danger escalates when Simon lures her inside his home and imprisons Jessica in his secret bunker, meticulously decorated in the idealized style of the 1950's.",6.553,/mQiAKqHd0JP0mJRunKbDXwKDJme.jpg,2015-02-28,Kept Woman,False,6.3,73
False,/eCLpCayt0ww1zZqAXGfxG6UG9x6.jpg,"[10751, 14, 10770]",149235,en,Help for the Holidays,"Although she loves Christmas, Santa’s elf Christine (Summer Glau) wonders if there could be more to life than making toys in the North Pole. When Santa receives an emergency wish from a little boy in Los Angeles, he puts Christine on a special assignment, sending her to L.A. to give the VanCamp family—mom Sara (Eva La Rue), dad Scott (Dan Gauthier), and their two kids Ally (Izabela Vidovic) and Will (Mason Cook)—a holiday wake-up call. Will Christine fail her assignment and be sent back to the North Pole for good, or will the VanCamps come to their senses about the meaning of Christmas?",7.219,/pXKUeppxOmRIgL2Qyt7tIKrNQUA.jpg,2012-12-09,Help for the Holidays,False,6.1,62
False,/kSxIfzsTLfSiInjU3KUCbrpetiL.jpg,"[9648, 80, 18, 10770]",325078,en,A Bone to Pick: An Aurora Teagarden Mystery,"A librarian with a sharp mind for murder, Aurora Teagarden is known around her small town as a master  sleuth. When her friend Jane unexpectedly dies and leaves Aurora everything in her will, she also leaves a  troubling murder mystery haunting her neighborhood. It is up to Aurora to piece together the clues—including a  skull, its missing skeleton and a suspicious group of neighbors—and solve the murder before she becomes the  unlikely killer’s next victim.",7.597,/7H7Sdy7W5NL2w2evrnwx7xgWSEL.jpg,2015-04-04,A Bone to Pick: An Aurora Teagarden Mystery,False,6.9,102
False,/rjK7JGPe7CbhwjfNLx6DQgRaN2L.jpg,"[18, 36, 10770]",316715,en,The Eichmann Show,"The behind-the-scenes true life story of a groundbreaking producer, Milton Fruchtman, and blacklisted TV director Leo Hurwitz who, overcoming enormous obstacles, set out to capture the testimony of one of the war's most notorious Nazis, Adolf Eichmann, who is accused of executing the 'final solution' and organising the murder of 6 million Jews. This is the extraordinary story of how the trial came to be televised and the team that made it happen.",7.327,/6cu8bEgtpX6ITxmI4JmiiCjU4OG.jpg,2015-01-20,The Eichmann Show,False,6.7,188
False,/o44QmvrLoBhCjrr8KUgFTZNlGvS.jpg,"[18, 53, 10770]",318553,en,Sugar Daddies,"When a girl with a promising future finds herself in financial straits, she makes an agreement with an older man and struggles to keep it secret.",5.273,/WlLTpdyUgv22oHkB3AvWPDN0Zv.jpg,2014-12-23,Sugar Daddies,False,4.8,29
